,DST_TO_SRC_SECOND_BYTES,FLOW_DURATION_MICROSECONDS,FLOW_DURATION_MILLISECONDS,IN_BYTES,IN_PKTS,L4_SRC_PORT,OUT_BYTES,OUT_PKTS,PROTOCOL_MAP,SRC_TO_DST_SECOND_BYTES,TCP_FLAGS,TCP_WIN_MAX_IN,TCP_WIN_MAX_OUT,TCP_WIN_MIN_IN,TCP_WIN_MIN_OUT,TCP_WIN_MSS_IN,TCP_WIN_MSS_OUT,TCP_WIN_SCALE_IN,TCP_WIN_SCALE_OUT,L7_PROTO_NAME,TOTAL_FLOWS_EXP,LABEL
43,132,30102,30,74,1,32839,132,1,2,74,0,0,0,0,0,0,0,0,0,DNS.Google,77251534,0
44,0,0,0,123,1,33480,0,0,2,123,0,0,0,0,0,0,0,0,0,BitTorrent,77251535,0
45,0,0,0,151,1,0,0,0,3,151,0,0,0,0,0,0,0,0,0,ICMP,77251536,0
46,1608,245185,245,238,3,443,1608,2,1,238,24,130,515,130,515,0,0,0,0,TLS.Dropbox,77251537,0
47,208,478,0,116,2,33833,208,2,2,116,0,0,0,0,0,0,0,0,0,DNS,77251538,0
48,216,77807,77,125,2,65532,216,1,1,125,24,514,7832,514,7832,0,0,0,0,TLS,77251539,0
49,176,572,0,71,1,50739,176,1,2,71,0,0,0,0,0,0,0,0,0,DNS.Google,77251540,0
50,0,0,0,131,1,47921,0,0,2,131,0,0,0,0,0,0,0,0,0,BitTorrent,77251541,0
51,174,399,0,72,1,38923,174,1,2,72,0,0,0,0,0,0,0,0,0,DNS,77251542,0
52,0,0,0,56,1,0,0,0,3,56,0,0,0,0,0,0,0,0,0,ICMP,77251543,0
53,193,702,0,126,2,56180,193,2,2,126,0,0,0,0,0,0,0,0,0,DNS,77251544,0
54,0,15045108,15045,260,5,52953,0,0,1,52,2,64240,0,64240,0,1460,0,8,0,Unknown,77251545,0
55,76,5188193,5188,204,3,42170,128,2,1,128,24,501,1024,501,1024,0,0,0,0,TeamViewer,77251546,0
56,121,348,0,76,1,64665,121,1,2,76,0,0,0,0,0,0,0,0,0,DNS.Google,77251547,0
57,52,48043456,48043,184,4,50788,368,8,1,52,19,8192,64240,8192,64240,1460,1460,8,7,Unknown,77251548,0
58,3863,254438,254,1317,8,63494,3863,9,1,1317,26,64240,26883,64240,26883,1460,1460,8,8,TLS,77251549,0
59,52,29385,29,41,1,63319,52,1,1,41,16,1024,261,1024,261,0,0,0,0,TLS.Google,77251550,0
60,215,79466,79,185,2,62364,215,1,1,185,24,513,7248,513,7248,0,0,0,0,TLS,77251551,0
61,0,0,0,40,1,45098,0,0,1,40,2,1024,0,1024,0,0,0,0,0,Unknown,77251552,0
62,151,265506,265,231,5,443,151,3,1,231,25,114,1026,114,1026,0,0,0,0,TLS,77251553,0
63,0,0,0,52,1,22,0,0,1,52,17,503,0,503,0,0,0,0,0,SSH,77251554,0
64,0,6062533,6062,96,2,1281,0,0,2,48,0,0,0,0,0,0,0,0,0,STUN.Messenger,77251555,0
65,0,6062627,6062,152,2,0,0,0,3,76,0,0,0,0,0,0,0,0,0,ICMP,77251556,0
66,300,350,0,172,2,47511,300,2,2,172,0,0,0,0,0,0,0,0,0,DNS.UbuntuONE,77251557,0
67,0,0,0,72,1,0,0,0,3,72,0,0,0,0,0,0,0,0,0,ICMP,77251558,0
68,160,370,0,128,2,34723,160,2,2,128,0,0,0,0,0,0,0,0,0,DNS,77251559,0
69,0,9530384,9530,144,3,47921,0,0,2,48,0,0,0,0,0,0,0,0,0,STUN.Messenger,77251560,0
70,146,879,0,61,1,52582,146,1,2,61,0,0,0,0,0,0,0,0,0,DNS,77251561,0
71,89,342,0,61,1,53153,89,1,2,61,0,0,0,0,0,0,0,0,0,DNS.Skype,77251562,0
72,141,326,0,74,1,50560,141,1,2,74,0,0,0,0,0,0,0,0,0,DNS,77251563,0
73,208,331,0,116,2,51532,208,2,2,116,0,0,0,0,0,0,0,0,0,DNS,77251564,0
74,40,379,0,60,1,22000,40,1,1,60,22,64240,0,64240,0,1412,0,7,0,Unknown,77251565,0
75,40,334,0,60,1,22000,40,1,1,60,22,64240,0,64240,0,1412,0,7,0,Unknown,77251566,0
76,40,275,0,60,1,34200,40,1,1,60,22,64240,0,64240,0,1412,0,7,0,Unknown,77251567,0
77,40,324,0,60,1,39824,40,1,1,60,22,64240,0,64240,0,1412,0,7,0,Unknown,77251568,0
78,243,28477,28,158,2,52920,243,2,2,158,0,0,0,0,0,0,0,0,0,DNS.Google,77251569,0
79,331,111493546,111493,9452,101,46736,9296,98,1,383,24,501,849,501,849,0,0,0,0,TLS,77251570,0
80,657,111111194,111111,2753,18,23768,722,2,2,165,0,0,0,0,0,0,0,0,0,Unknown,77251571,0
81,65,115921415,115921,2422,16,41558,787,3,2,56,0,0,0,0,0,0,0,0,0,Unknown,77251572,0
82,75,405,0,59,1,56956,75,1,2,59,0,0,0,0,0,0,0,0,0,DNS,77251573,0
83,138,275,0,59,1,51307,138,1,2,59,0,0,0,0,0,0,0,0,0,DNS,77251574,0
84,180,327,0,75,1,35855,180,1,2,75,0,0,0,0,0,0,0,0,0,DNS.Google,77251575,0
85,166,188,0,134,2,58753,166,2,2,134,0,0,0,0,0,0,0,0,0,DNS,77251576,0
86,208,1416,1,116,2,41833,208,2,2,116,0,0,0,0,0,0,0,0,0,DNS,77251577,0
87,0,0,0,60,1,41052,0,0,1,60,2,64240,0,64240,0,1460,0,7,0,Unknown,77251578,0
88,3195,5325173,5325,3476,20,47798,10317,18,1,665,31,64240,28960,64240,28960,1460,1460,7,7,TLS.UbuntuONE,77251579,0
89,40,12158,12,80,2,50001,40,1,1,80,22,1200,0,1024,0,0,0,0,0,Unknown,77251580,0
90,179,799,0,74,1,60362,179,1,2,74,0,0,0,0,0,0,0,0,0,DNS,77251581,0
91,160,236,0,88,1,15250,160,1,2,88,0,0,0,0,0,0,0,0,0,DNS,77251582,0
92,153,4997535,4997,1449,14,51678,2257,14,1,112,27,29200,64308,29200,64308,1460,1410,7,7,SSH,77251583,0
93,224,1136,1,132,2,42073,224,2,2,132,0,0,0,0,0,0,0,0,0,DNS,77251584,0
94,89,15362,15,85,1,55111,89,1,2,85,0,0,0,0,0,0,0,0,0,DNS.Microsoft,77251585,0
95,180,372,0,118,2,37260,180,2,2,118,0,0,0,0,0,0,0,0,0,DNS,77251586,0
96,153,3737989,3737,1345,12,57948,2257,14,1,112,27,29200,64308,29200,64308,1460,1410,7,7,SSH,77251587,0
97,0,0,0,40,1,43478,0,0,1,40,2,65535,0,65535,0,0,0,0,0,Unknown,77251588,0
98,886,53631,53,81,1,51312,886,1,2,81,0,0,0,0,0,0,0,0,0,DNS.Microsoft,77251589,0
99,156,72179,72,124,2,59117,156,2,2,124,0,0,0,0,0,0,0,0,0,DNS.Microsoft,77251590,0
100,139,258,0,72,1,37728,139,1,2,72,0,0,0,0,0,0,0,0,0,DNS,77251591,0
101,40,1103,1,60,1,49778,40,1,1,60,22,29200,0,29200,0,1460,0,7,0,Memcached,77251592,0
102,76,5094610,5094,204,3,60868,128,2,1,128,24,501,1028,501,1028,0,0,0,0,TLS.TeamViewer,77251593,0
103,6612,559607,559,4975,14,64882,6612,15,1,4975,27,64240,64240,64240,64240,1460,1440,8,7,TLS,77251594,0
104,140,29913,29,73,1,49160,140,1,2,73,0,0,0,0,0,0,0,0,0,DNS.Google,77251595,0
105,193,605,0,126,2,54213,193,2,2,126,0,0,0,0,0,0,0,0,0,DNS,77251596,0
106,151,9664871,9664,2196,17,52586,2263,15,1,228,27,29200,27960,29200,27960,1460,1410,7,7,SSH,77251597,0
107,0,0,0,132,1,2165,0,0,2,132,0,0,0,0,0,0,0,0,0,BitTorrent,77251598,0
108,0,0,0,160,1,0,0,0,3,160,0,0,0,0,0,0,0,0,0,ICMP,77251599,0
109,0,0,0,60,1,51096,0,0,1,60,2,64240,0,64240,0,1460,0,7,0,Unknown,77251600,0
110,165,14051,14,86,1,46728,165,1,2,86,0,0,0,0,0,0,0,0,0,DNS,77251601,0
111,0,9327528,9327,144,3,53458,0,0,2,48,0,0,0,0,0,0,0,0,0,STUN.Messenger,77251602,0
112,0,9327596,9327,228,3,0,0,0,3,76,0,0,0,0,0,0,0,0,0,ICMP,77251603,0
113,885,38162,38,80,1,60033,885,1,2,80,0,0,0,0,0,0,0,0,0,DNS,77251604,0
114,128,14301,14,93,1,46001,128,1,2,93,0,0,0,0,0,0,0,0,0,DNS,77251605,0
115,363,14138,14,89,1,58712,363,1,2,89,0,0,0,0,0,0,0,0,0,DNS.Amazon,77251606,0
116,364,14199,14,90,1,53694,364,1,2,90,0,0,0,0,0,0,0,0,0,DNS.Amazon,77251607,0
117,366,13983,13,92,1,55683,366,1,2,92,0,0,0,0,0,0,0,0,0,DNS.Amazon,77251608,0
118,1470,93809,93,292,4,42621,1470,4,2,292,0,0,0,0,0,0,0,0,0,DNS,77251609,0
119,291,14649,14,102,1,58043,291,1,2,102,0,0,0,0,0,0,0,0,0,DNS.Amazon,77251610,0
120,362,105361,105,140,2,42621,362,2,2,140,0,0,0,0,0,0,0,0,0,DNS,77251611,0
121,362,46940,46,89,1,46791,362,1,2,89,0,0,0,0,0,0,0,0,0,DNS.Amazon,77251612,0
122,0,9214102,9214,96,2,16561,0,0,2,48,0,0,0,0,0,0,0,0,0,STUN.DNS,77251613,0
123,0,9214086,9214,152,2,0,0,0,3,76,0,0,0,0,0,0,0,0,0,ICMP,77251614,0
124,151,4774151,4774,1345,12,60628,2127,14,1,112,27,29200,27960,29200,27960,1460,1410,7,7,SSH,77251615,0
125,60,504021,504,164,3,56367,151,2,1,60,26,29200,27960,29200,27960,1460,1410,7,7,SSH,77251616,0
126,536,160320,160,770,6,52963,536,7,1,770,27,64240,65535,64240,65535,1460,1452,8,5,BitTorrent,77251617,0
127,40,283694,283,52,1,52962,40,1,1,52,22,64240,0,64240,0,1460,0,8,0,Unknown,77251618,0
128,89,258,0,61,1,56357,89,1,2,61,0,0,0,0,0,0,0,0,0,DNS.Skype,77251619,0
129,146,238,0,61,1,54579,146,1,2,61,0,0,0,0,0,0,0,0,0,DNS.Skype,77251620,0
130,0,9187424,9187,144,3,61034,0,0,2,48,0,0,0,0,0,0,0,0,0,STUN.Messenger,77251621,0
131,0,9187154,9187,228,3,0,0,0,3,76,0,0,0,0,0,0,0,0,0,ICMP,77251622,0
132,40,49734,49,80,2,53792,40,1,1,80,22,1200,0,1024,0,0,0,0,0,Unknown,77251623,0
133,208,355,0,116,2,41645,208,2,2,116,0,0,0,0,0,0,0,0,0,DNS,77251624,0
134,89,239,0,61,1,55711,89,1,2,61,0,0,0,0,0,0,0,0,0,DNS.Skype,77251625,0
135,180,199356,199,94,1,58015,180,1,2,94,0,0,0,0,0,0,0,0,0,Unknown,77251626,0
136,143,854,0,73,1,51761,143,1,2,73,0,0,0,0,0,0,0,0,0,DNS,77251627,0
137,40,251,0,40,1,80,40,1,1,40,22,17520,0,17520,0,0,0,0,0,HTTP,77251628,0
138,224,1178,1,132,2,57815,224,2,2,132,0,0,0,0,0,0,0,0,0,DNS,77251629,0
139,0,0,0,40,1,50301,0,0,1,40,2,1024,0,1024,0,0,0,0,0,TLS,77251630,0
140,48,114163474,114163,3479,37,46618,8438,52,2,58,0,0,0,0,0,0,0,0,0,STUN.Messenger,77251631,0
141,203,348,0,86,1,32768,203,1,2,86,0,0,0,0,0,0,0,0,0,DNS,77251632,0
142,132,29711,29,72,1,44876,132,1,2,72,0,0,0,0,0,0,0,0,0,DNS.Google,77251633,0
143,40,284464,284,52,1,52962,40,1,1,52,22,64240,0,64240,0,1460,0,8,0,Unknown,77251634,0
144,128,227,0,71,1,54247,128,1,2,71,0,0,0,0,0,0,0,0,0,DNS,77251635,0
145,155,148,0,89,1,51678,155,1,2,89,0,0,0,0,0,0,0,0,0,DNS,77251636,0
146,108,92,0,92,1,49644,108,1,2,92,0,0,0,0,0,0,0,0,0,DNS,77251637,0
147,4351,11122844,11122,7829,16,59701,5122,18,2,5739,0,0,0,0,0,0,0,0,0,QUIC.Google,77251638,0
148,5419,1108095,1108,4058,15,46756,5499,10,1,3907,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251639,0
149,5419,1108845,1108,4046,15,46758,5499,10,1,3895,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251640,0
150,5419,1111915,1111,4044,15,46794,5499,10,1,3893,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251641,0
151,8575,2109851,2109,21542,34,46768,11771,27,1,15536,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251642,0
152,8575,2112782,2112,21467,33,46812,11771,27,1,15469,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251643,0
153,8575,2114110,2114,21522,34,46790,11811,28,1,15524,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251644,0
154,8575,2122467,2122,21479,33,46774,11771,27,1,15518,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251645,0
155,8575,2125396,2125,21533,34,46778,11811,28,1,15530,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251646,0
156,7563,2122713,2122,21506,34,46780,11811,28,1,12604,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251647,0
157,7563,2132897,2132,21518,34,46796,11811,28,1,12618,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251648,0
158,8575,2133466,2133,21507,34,46798,11811,28,1,15502,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251649,0
159,7563,2133725,2133,21525,34,46802,11811,28,1,12617,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251650,0
160,8575,2135980,2135,21504,33,46806,11811,28,1,12578,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251651,0
161,8575,2138774,2138,21465,33,46818,11771,27,1,15468,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251652,0
162,8575,2142232,2142,21484,33,46822,11811,28,1,15475,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251653,0
163,7563,2142880,2142,21478,33,46824,11811,28,1,12568,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251654,0
164,8535,2146035,2146,21432,32,46826,11771,27,1,15428,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251655,0
165,8535,2148176,2148,21427,32,46828,11771,27,1,15426,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251656,0
166,8535,2153623,2153,21449,32,46832,11771,27,1,15453,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251657,0
167,8495,2157414,2157,21411,31,46836,11731,26,1,15405,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251658,0
168,8575,2159715,2159,21474,33,46786,11771,27,1,15513,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251659,0
169,8575,2165614,2165,21396,31,46808,11731,26,1,15468,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251660,0
170,8575,2165770,2165,21445,32,46830,11771,27,1,15471,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251661,0
171,92,306885,306,132,3,54855,92,2,1,132,19,8188,64240,8188,64240,1460,1460,8,7,DNS,77251662,0
172,8575,2170219,2170,21478,33,46816,11811,28,1,15475,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251663,0
173,8575,2184453,2184,21493,33,46838,11811,28,1,15493,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251664,0
174,5471,2189128,2189,9909,22,46784,7655,17,1,5291,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251665,0
175,1259,4079060,4079,1449,14,60450,2127,14,1,729,27,64240,27960,64240,27960,1460,1410,7,7,SSH,77251666,0
176,209,346,0,104,1,40856,209,1,2,104,0,0,0,0,0,0,0,0,0,DNS,77251667,0
177,40,328,0,52,1,63102,40,1,1,52,22,64240,0,64240,0,1372,0,8,0,Unknown,77251668,0
178,104,1277,1,88,1,61064,104,1,2,88,0,0,0,0,0,0,0,0,0,DNS,77251669,0
179,0,32965651,32965,375,3,51415,0,0,2,125,0,0,0,0,0,0,0,0,0,BitTorrent,77251670,0
180,0,32965631,32965,459,3,0,0,0,3,153,0,0,0,0,0,0,0,0,0,ICMP,77251671,0
181,149,1598,1,104,1,50501,149,1,2,104,0,0,0,0,0,0,0,0,0,DNS,77251672,0
182,64,5090789,5090,168,3,64438,104,2,1,104,24,1023,1022,1023,1022,0,0,0,0,TeamViewer,77251673,0
183,8575,2285123,2285,21475,33,46840,11811,28,1,12612,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251674,0
184,40,1339,1,40,1,56708,40,1,1,40,22,65535,0,65535,0,0,0,0,0,Unknown,77251675,0
185,8575,2294781,2294,24383,36,46772,12823,30,1,15522,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251676,0
186,8575,2297412,2297,24431,37,46754,12863,31,1,15512,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251677,0
187,8575,2320555,2320,24409,37,46766,12863,31,1,15507,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251678,0
188,8575,2322355,2322,24419,37,46760,12863,31,1,15513,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251679,0
189,92,238270,238,132,3,7704,92,2,1,132,19,8188,64240,8188,64240,1460,1460,8,7,DNS,77251680,0
190,8575,2327598,2327,24408,37,46776,12863,31,1,15505,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251681,0
191,8575,2329424,2329,24425,37,46762,12863,31,1,15521,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251682,0
192,8535,2331295,2331,24398,36,46782,12823,30,1,15488,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251683,0
193,8535,2332219,2332,24404,36,46788,12823,30,1,15491,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251684,0
194,8575,2335318,2335,24415,37,46800,12863,31,1,15498,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251685,0
195,8535,2337054,2337,24331,35,46804,12823,30,1,15431,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251686,0
196,8535,2351102,2351,24377,36,46792,12783,29,1,15472,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251687,0
197,8535,2357642,2357,24390,36,46770,12783,29,1,15474,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251688,0
198,8575,2357951,2357,24373,36,46810,12863,31,1,15471,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251689,0
199,8535,2366195,2366,24324,35,46814,12783,29,1,15425,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251690,0
200,8575,2372076,2372,24410,36,46820,12863,31,1,15491,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251691,0
201,8535,2375704,2375,21394,31,46834,11691,25,1,15433,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251692,0
202,8575,2383400,2383,24375,36,46764,12823,30,1,15517,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251693,0
203,269,14650,14,80,1,50806,269,1,2,80,0,0,0,0,0,0,0,0,0,DNS.Amazon,77251694,0
204,242,15990,15,114,2,37726,242,2,2,114,0,0,0,0,0,0,0,0,0,DNS,77251695,0
205,8535,2457440,2457,33074,45,46738,15979,39,1,15464,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251696,0
206,8575,2463664,2463,30276,44,46740,14927,36,1,12601,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251697,0
207,6471,1473874,1473,12892,27,46742,8655,19,1,6852,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251698,0
208,8575,2479309,2479,30248,43,46744,14967,37,1,15531,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251699,0
209,8575,2501065,2501,27417,42,46746,13875,33,1,15530,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251700,0
210,8495,2502458,2502,27293,39,46748,13795,31,1,15448,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251701,0
211,8575,2645346,2645,27278,39,46750,13875,33,1,15511,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251702,0
212,8575,2649053,2649,27327,40,46752,13915,34,1,15520,27,64240,65535,64240,65535,1460,1440,7,8,TLS.Microsoft,77251703,0
213,40,284233,284,52,1,52962,40,1,1,52,22,64240,0,64240,0,1460,0,8,0,Unknown,77251704,0
214,160,1070,1,128,2,2056,160,2,2,128,0,0,0,0,0,0,0,0,0,DNS,77251705,0
215,215,108050,108,420,2,443,215,1,1,380,24,2052,1025,2052,1025,0,0,0,0,TLS.Skype,77251706,0
216,40,1003,1,40,1,45768,40,1,1,40,22,1024,0,1024,0,0,0,0,0,Unknown,77251707,0
217,216,83458,83,125,2,65525,216,1,1,125,24,1027,7707,1027,7707,0,0,0,0,TLS,77251708,0
218,1365,2420931,2420,1345,12,54902,2233,14,1,729,27,29200,65160,29200,65160,1460,1460,7,7,SSH,77251709,0
219,40,291,0,44,1,8661,40,1,1,44,22,1024,0,1024,0,1460,0,0,0,Unknown,77251710,0
220,40,355,0,52,1,63102,40,1,1,52,22,64240,0,64240,0,1372,0,8,0,Unknown,77251711,0
221,0,9197966,9197,144,3,1029,0,0,2,48,0,0,0,0,0,0,0,0,0,STUN.Messenger,77251712,0
222,0,9197931,9197,228,3,0,0,0,3,76,0,0,0,0,0,0,0,0,0,ICMP,77251713,0
223,3502,127379,127,238,3,443,3502,4,1,238,24,130,513,130,513,0,0,0,0,TLS.Dropbox,77251714,0
224,40,198,0,52,1,10413,40,1,1,52,22,64240,0,64240,0,1309,0,8,0,Unknown,77251715,0
225,57,32844,32,57,1,36733,57,1,2,57,0,0,0,0,0,0,0,0,0,DNS,77251716,0
226,113,34097,34,92,1,45880,113,1,2,92,0,0,0,0,0,0,0,0,0,DNS,77251717,0
227,226,68730,68,184,2,56709,226,2,2,184,0,0,0,0,0,0,0,0,0,DNS,77251718,0
